strDrink,strCategory,strGlass,strIngredients,strInstructions,rank
Old Fashioned,Cocktail,Old-fashioned glass,Water,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",50
Old Fashioned,Cocktail,Old-fashioned glass,Bourbon,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",50
Old Fashioned,Cocktail,Old-fashioned glass,Sugar,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry.",50
Rum Sour,Ordinary Drink,Whiskey sour glass,Light Rum,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",57
Rum Sour,Ordinary Drink,Whiskey sour glass,Sugar,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",57
Rum Sour,Ordinary Drink,Whiskey sour glass,Lemon Juice,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",57
Rum Sour,Ordinary Drink,Whiskey sour glass,Maraschino Cherry,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",57
Rum Sour,Ordinary Drink,Whiskey sour glass,Orange,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",57
San Francisco,Ordinary Drink,Highball Glass,Creme De Banane,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",54
San Francisco,Ordinary Drink,Highball Glass,Orange Juice,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",54
San Francisco,Ordinary Drink,Highball Glass,Grenadine,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",54
San Francisco,Ordinary Drink,Highball Glass,Vodka,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",54
Sazerac,Ordinary Drink,Old-fashioned glass,Bourbon,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",46
Sazerac,Ordinary Drink,Old-fashioned glass,Ricard,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",46
Sazerac,Ordinary Drink,Old-fashioned glass,Water,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",46
Sazerac,Ordinary Drink,Old-fashioned glass,Lemon Peel,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",46
Sazerac,Ordinary Drink,Old-fashioned glass,Peychaud Bitters,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",46
Sazerac,Ordinary Drink,Old-fashioned glass,Sugar,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish.",46
Screaming Orgasm,Ordinary Drink,Cocktail Glass,Bailey'S Irish Cream,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",14
Screaming Orgasm,Ordinary Drink,Cocktail Glass,Kahlua,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",14
Screaming Orgasm,Ordinary Drink,Cocktail Glass,Vodka,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first.",14
Sidecar,Ordinary Drink,Cocktail Glass,Cognac,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,86
Sidecar,Ordinary Drink,Cocktail Glass,Lemon Juice,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,86
Sidecar,Ordinary Drink,Cocktail Glass,Cointreau,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,86
Singapore Sling,Ordinary Drink,Hurricane glass,Grenadine,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,21
Singapore Sling,Ordinary Drink,Hurricane glass,Cherry,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,21
Singapore Sling,Ordinary Drink,Hurricane glass,Carbonated Water,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,21
Singapore Sling,Ordinary Drink,Hurricane glass,Cherry Brandy,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,21
Singapore Sling,Ordinary Drink,Hurricane glass,Sweet And Sour,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,21
Singapore Sling,Ordinary Drink,Hurricane glass,Gin,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.,21
Tequila Sunrise,Cocktail,Highball Glass,Tequila,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",39
Tequila Sunrise,Cocktail,Highball Glass,Orange Juice,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",39
Tequila Sunrise,Cocktail,Highball Glass,Grenadine,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",39
Tommy's Margarita,Ordinary Drink,Old-fashioned glass,Tequila,Shake and strain into a chilled cocktail glass.,44
Tommy's Margarita,Ordinary Drink,Old-fashioned glass,Lime Juice,Shake and strain into a chilled cocktail glass.,44
Tommy's Margarita,Ordinary Drink,Old-fashioned glass,Agave Syrup,Shake and strain into a chilled cocktail glass.,44
Vesper,Cocktail,Cocktail Glass,Gin,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",36
Vesper,Cocktail,Cocktail Glass,Vodka,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",36
Vesper,Cocktail,Cocktail Glass,Lillet Blanc,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",36
Whiskey Sour,Ordinary Drink,Old-fashioned glass,Lemon,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",28
Whiskey Sour,Ordinary Drink,Old-fashioned glass,Lemon,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",28
Whiskey Sour,Ordinary Drink,Old-fashioned glass,Blended Whiskey,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",28
Whiskey Sour,Ordinary Drink,Old-fashioned glass,Cherry,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",28
Whiskey Sour,Ordinary Drink,Old-fashioned glass,Sugar,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",28
White Lady,Ordinary Drink,Cocktail Glass,Lemon Juice,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,25
White Lady,Ordinary Drink,Cocktail Glass,Triple Sec,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,25
White Lady,Ordinary Drink,Cocktail Glass,Gin,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,25
